content,score,at
baguss,5,2026-06-28 12:46:27
Sangat bagus,5,2026-06-28 12:45:16
sangat bagus,5,2026-06-28 12:44:41
"cs kurang responsif, ga bisa menyelesaikan masalah, udah habis pulsa 50rb buat tlp cs, ga ada jalan keluar sama sekali",1,2026-06-28 12:42:45
sangat baik,5,2026-06-28 12:42:26
jos,5,2026-06-28 12:42:16
okelah,4,2026-06-28 12:40:15
pengapa fitur Dana cicil saya enggak muncul padahal sudah bertransaksi puluhan juta Dan sudah premium dan akun Dana saya sudah gunakan 4 tahun,1,2026-06-28 12:39:45
"GW padahal tidak melakukan pembelian pulsa, tetapi disitu tercatat adanya transaksi, pas gw cek pulsanya gak masuk uangnya hilang, gw lapor diresponnya ""mohon maaf saya tidak bisa membantu""",1,2026-06-28 12:35:07
mantaaap,5,2026-06-28 12:35:03
baik,5,2026-06-28 12:34:07
sangat bagus dan tingkat kan,5,2026-06-28 12:34:04
mantab busa di andalkan ini APK,5,2026-06-28 12:33:14
selalu kehilangan uang di dana padahal tidak melakukan langganan di bloomoffer limited sama sekali hampir setiap bulan setiap ada saldo di atas 20ribu langsung ke sedot.saya kecewa,1,2026-06-28 12:31:20
aplikasi tolol lemot bbi kau dana,1,2026-06-28 12:31:00
bagus sangat cepat,5,2026-06-28 12:29:31
bagus,5,2026-06-28 12:28:17
sangat membantu,5,2026-06-28 12:27:06
ok,5,2026-06-28 12:22:00
tidak bisa verifikasi dana premium sangat sulit😡 apa sebenarnya kegunaan dari dana ini. tidak bisa ngapa-ngapain karna dana belum premium lalu saya daftarkan premium juga sangat sulit sungguh tidak recommended menggunakan akun dana ini.hanya mempersulit hidup orang saja. verifikasi sangat lama walaupun kita sudah isi data yang benar dan kita mengikuti lngkah langkah yang di sarankan. semua dokumen yg dimnta sudah dikirim lalu apa lagi😡 BUAT YG LAIN JNGN MENGGUNAKAN DANA ITU HANYA MEMPERSULIT,1,2026-06-28 12:20:34
"Semoga fitur Dana instan saya cepat muncul, mohon dibantu pihak Dana",4,2026-06-28 12:20:12
apl ini sangat membantu,5,2026-06-28 12:17:19
mantap,5,2026-06-28 12:16:13
aneh dengan DANA ini saya sudah melunasi dana cicil namun keterangaan tagihan saya masih ada.. dan limit saya tetap tdk berubah ko gini amat ya DANA,1,2026-06-28 12:13:58
mantap.. limit dana cicil saya sampai sekarang masih gak bisa d gunakan.. setiap kali MW menggunakan limit dana cicil.. keterangan nya dana cicil sedang tidak tersedia . berarti dana cicil cuma untuk 1x pakai saja,5,2026-06-28 12:10:14
"saya ingin minta tolong, tolong kembalikan uang saya. saya isi saldo 350.000 tetapi malah ada transaksi yang saya juga tidak tau siapa yang melakukannya saldo saya jadi sisa 3000 tolong untuk pihak dana kembalikan uang saya, saya sangat perlu uang itu",1,2026-06-28 12:07:57
aman banget buat nyimpen uang,5,2026-06-28 12:07:41
"payah banget dana , kena tipu aja gak bisa bantu , ewallet tidak aman dana ternyata",5,2026-06-28 12:07:40
apk ini bagus tapi waktu aku mau kirim uang melalui ewallet gk mau kebuka tolong ya diperbaiki,4,2026-06-28 12:07:24
min kenapa ya saya datar dana ko gagal terus jawaban nya ada kendala terus tolong jelas kan apa penyebab nya,1,2026-06-28 12:05:40
sangat amat bagus,5,2026-06-28 12:04:01
"Dana gak jelas ribet banget ,biasanya log in cuman masukin pin Sama verifikasi wajah ini kok ribet ribet harus pake otp ,padahal akun udah premium kan udah jelas wajah Sama KTP sama kok ribet bnget harus pakek otp ,sekian lama makek dana baru ini kejadian sampah kaya gini ,padahal udah banyak kasus kaya gini cuman masih aja di persulit",2,2026-06-28 12:03:55
ok,5,2026-06-28 12:03:15
dana cicilan nya ga bisa di pakai pengajuan udah di acc tpi ga bisa di pakai,1,2026-06-28 12:01:32
ini dana cicil tidak bisa digunakan lagi ya mending di hapus ajh,1,2026-06-28 11:57:49
tolong gmn cara ya saya masuk ke akun saya nmr sdh gk ada lgi gk ada gmail tolong dana uang saya masih ada di sana saya gk bisa masuk ke akun saya nmr ya gk ada lgi gmn bisa nerima kode,1,2026-06-28 11:54:22
ok,5,2026-06-28 11:52:02
sangat membantu,5,2026-06-28 11:51:17
sehabis update kok gak muncul2 aplikasinya,5,2026-06-28 11:50:14
sip lah,5,2026-06-28 11:50:10
"gk akan gue pake aplikasi dana lagi, masa duit gue 300rb tiba² raib di aplikasi ini dan yg ke 2, di apkikasi gop.. walaupun gk ada paket masih bisa bertransaksi dan login.",1,2026-06-28 11:49:37
mantap,5,2026-06-28 11:48:04
"aplikasi mudah di bobol, tau2 saldo hilang pake transaksi orang tak di kenal.",1,2026-06-28 11:47:21
bagus,5,2026-06-28 11:45:46
sangat membantu dengan adanya aps ini...👌👍,5,2026-06-28 11:45:31
Sangat cocok untuk transaksi jual beli online aman gunakan untuk giat kirim uang juga bagus babget,5,2026-06-28 11:45:17
sangat membantu,5,2026-06-28 11:43:01
sayangnya dana cicil tidak muncul,5,2026-06-28 11:42:05
aplikasi dana serba bisa mantap,5,2026-06-28 11:40:34
kurang bagus apk nya,1,2026-06-28 11:37:46
sukses terus,3,2026-06-28 11:36:59
bagus eg ribet,5,2026-06-28 11:35:17
cukup membantu buat transaksi tingkat kan terus kecanggihan nya dan keamanan nya,5,2026-06-28 11:32:37
"tolong donk fitur passkey nya dihilangin, kalo HP lama hilang/rusak gimana bisa loginnya ke HP baru padahl kata sandi, viss vermuk udah, ujung-ujungnya ke otp wa/SMS yg nomor nya udh gak aktip, gimana ini cara biar bisa dipake lagi",1,2026-06-28 11:31:22
good,5,2026-06-28 11:30:03
"kenapa saat mau habus akun dana tidak bisa lanjut, nanya diana bukan selesaiin malah bikin puyeng",1,2026-06-28 11:29:27
Aplikasi banyak bug,1,2026-06-28 11:26:38
aplikasi ngak jelas,1,2026-06-28 11:25:18
ingin mengajukan dana cicilan,5,2026-06-28 11:22:36
jadi mudah banget dg klo butuh uang,5,2026-06-28 11:22:21
memuaskan,4,2026-06-28 11:19:45
saya pengguna lama apk ini.. tapi fitur dana cicil nya tidak bisa digunakan padahal limit nya ada,5,2026-06-28 11:19:10
"dana instan ku kog GK muncul""",3,2026-06-28 11:18:34
"jangan asal beli langganan lah min, uang gua uda kesedot 2x ni padahal ga pernah buka apknya ga pernah buka gratisan seminggu juga, tapi malah berlangganan sendiri",1,2026-06-28 11:18:10
